name,link,gender,age,nationality,born,place_of_birth,year,died,category,country
César Milstein,https://en.wikipedia.org/wiki/C%C3%A9sar_Milstein,,,,8 October 1927,, 1984,24 March 2002, Physiology or Medicine,
Saul Bellow*,https://en.wikipedia.org/wiki/Saul_Bellow,,,,10 June 1915,, 1976,5 April 2005, Literature,
David H. Hubel*,https://en.wikipedia.org/wiki/David_H._Hubel,,,,"February 27, 1926",, 1981,"September 22, 2013", Physiology or Medicine,
Henry Taube*,https://en.wikipedia.org/wiki/Henry_Taube,,,,"November 30, 1915",, 1983,"November 16, 2005", Chemistry,
John Polanyi,https://en.wikipedia.org/wiki/John_Polanyi,,,,23 January 1929,, 1986,, Chemistry,
Sidney Altman,https://en.wikipedia.org/wiki/Sidney_Altman,,,,,, 1989,, Chemistry,
Richard E. Taylor,https://en.wikipedia.org/wiki/Richard_E._Taylor,,,,"November 2, 1929",, 1990,, Physics,
Rudolph A. Marcus*,https://en.wikipedia.org/wiki/Rudolph_A._Marcus,,,,"July 21, 1923",, 1992,, Chemistry,
Michael Smith,https://en.wikipedia.org/wiki/Michael_Smith_(chemist),,,,26 April 1932,, 1993,4 October 2000, Chemistry,
Bertram Brockhouse,https://en.wikipedia.org/wiki/Bertram_Brockhouse,,,,"July 15, 1918",, 1994,"October 13, 2003", Physics,
Pugwash Conferences on Science and World Affairs,https://en.wikipedia.org/wiki/Pugwash_Conferences_on_Science_and_World_Affairs,,,,,, 1995,, Peace,
William Vickrey*,https://en.wikipedia.org/wiki/William_Vickrey,,,,21 June 1914,, 1996,11 October 1996, Economics,
Myron Scholes*,https://en.wikipedia.org/wiki/Myron_Scholes,,,,,, 1997,, Economics,
Robert Mundell,https://en.wikipedia.org/wiki/Robert_Mundell,,,,"October 24, 1932",, 1999,, Economics,
Jack W. Szostak,https://en.wikipedia.org/wiki/Jack_W._Szostak,,,,"November 9, 1952",, 2009,, Physiology or Medicine,
Willard Boyle*,https://en.wikipedia.org/wiki/Willard_Boyle,,,,"August 19, 1924",, 2009,"May 7, 2011", Physics,
Ralph M. Steinman,https://en.wikipedia.org/wiki/Ralph_M._Steinman,,,,"January 14, 1943",, 2011,"September 30, 2011", Physiology or Medicine,
Alice Munro,https://en.wikipedia.org/wiki/Alice_Munro,,,,10 July 1931,, 2013,, Literature,
Arthur B. McDonald,https://en.wikipedia.org/wiki/Arthur_B._McDonald,,,,"August 29, 1943",, 2015,, Physics,
Elias Canetti*,https://en.wikipedia.org/wiki/Elias_Canetti,,,,,, 1981,, Literature,
Ivo Andrić*,https://en.wikipedia.org/wiki/Ivo_Andri%C4%87,,,,9 October 1892,, 1961,13 March 1975, Literature,
Vladimir Prelog*,https://en.wikipedia.org/wiki/Vladimir_Prelog,,,,23 July 1906,, 1975,7 January 1998, Chemistry,
Institut de Droit International,https://en.wikipedia.org/wiki/Institut_de_Droit_International,,,,,, 1904,, Peace,
Auguste Beernaert,https://en.wikipedia.org/wiki/Auguste_Beernaert,,,,26 July 1829,, 1909,6 October 1912, Peace,
Maurice Maeterlinck,https://en.wikipedia.org/wiki/Maurice_Maeterlinck,,,,29 August 1862,, 1911,6 May 1949, Literature,
Henri La Fontaine,https://en.wikipedia.org/wiki/Henri_La_Fontaine,,,,,, 1913,, Peace,
Jules Bordet,https://en.wikipedia.org/wiki/Jules_Bordet,,,,13 June 1870,, 1919,6 April 1961, Physiology or Medicine,
Corneille Heymans,https://en.wikipedia.org/wiki/Corneille_Heymans,,,,28 March 1892,, 1938,18 July 1968, Physiology or Medicine,
Dominique Pire,https://en.wikipedia.org/wiki/Dominique_Pire,,,,"February 10, 1910",, 1958,"January 30, 1969", Peace,
Albert Claude,https://en.wikipedia.org/wiki/Albert_Claude,,,,24 August 1899,, 1974,22 May 1983, Physiology or Medicine,
